ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls.1,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias,Pollster Weight
38,Indiana University,2,yes,no,yes,2,0.8549995000000001,1.0,-4.171918,-0.2609375,B+,no,0.0534375,0.7775985746627804
39,GfK Group,19,no,yes,yes,19,3.398947,0.9210526,-1.114287,-0.2479431,B+,no,-0.09142860000000001,0.7745235643748046
40,Castleton University,3,yes,no,yes,0,9.933333,1.0,-1.000844,-0.24139899999999997,B+,no,,0.7729749607589745
41,Lake Research Partners,9,yes,no,no,9,3.8455550000000014,0.8333333,-2.325385,-0.2354438,B+,no,0.4976923,0.771565715140327
42,Princeton Survey Research Associates International,32,yes,no,yes,31,4.63125,0.6875,0.0001773,-0.2281083,B+,no,0.2577049,0.7698298336862048
43,Garin-Hart-Yang Research Group,22,yes,no,no,22,5.312727,0.8636364,-0.8991593000000001,-0.20328339999999998,B+,no,1.289231,0.7639552397920681
44,Franklin & Marshall College,18,yes,no,yes,15,5.743888,0.9444444,0.0993153,-0.1940068,B+,no,-0.3782222,0.7617600141227462
45,"RKM Research and Communications, Inc.",26,yes,no,no,18,5.593077,0.8653846,-0.7785377,-0.1913619,B+,no,-0.20625,0.7611341218375567
46,University of South Alabama,8,yes,no,no,8,2.75125,1.0,-3.00668,-0.18825479999999997,B+,no,-0.4060526,0.7603988539940418
47,University of Florida,1,yes,no,yes,1,1.07,0.5,-2.230408,-0.18376689999999998,B+,no,0.0345161,0.7593368319944569
48,"Mason-Dixon Polling & Research, Inc.",415,yes,no,no,355,5.212409,0.8614458,-0.38002040000000004,-0.1782705,B+,no,-0.9653246999999999,0.7580361573540864
49,Pew Research Center,20,yes,no,yes,20,3.4155,0.575,0.145644,-0.1745424,B+,no,0.5542,0.7571539353311687
50,"National Research, Inc.",8,yes,no,no,6,5.0575,0.8125,-1.9224919999999999,-0.1719374,B+,no,-0.4511111,0.7565374850294866
51,Market Shares Corp.,26,yes,no,yes,22,6.78423,0.8461539,0.18698220000000002,-0.1458399,B+,no,-1.730577,0.7503617415561098
52,Fleming & Associates,15,yes,no,no,13,5.078,1.0,-1.01001,-0.14000320000000002,B+,no,-0.2902325,0.7489805379185561
53,Market Research Insight,7,yes,no,no,5,1.784285,1.0,-4.398869,-0.13819579999999998,B+,no,0.18914289999999997,0.7485528326305484
54,Montana State University Billings,7,yes,no,no,7,3.6071419999999996,0.5714286,-3.66488,-0.13819579999999998,B+,no,0.5591891999999999,0.7485528326305484
55,Riley Research Associates,7,yes,no,no,7,2.657143,1.0,-2.378693,-0.13819579999999998,B+,no,-0.11891889999999998,0.7485528326305484
56,Vanderbilt University,1,yes,no,yes,0,8.9,1.0,0.4947172,-0.1032922,B+,no,,0.7402932031680576
57,Elon University,4,yes,no,yes,4,3.960001,0.5,0.7268667,-0.0774621,B+,no,0.3794118,0.7341807375490645
58,RT Strategies,42,yes,no,yes,42,5.7623809999999995,0.7142857,0.2686314,-0.059965,B+,no,1.091944,0.730040202971882
59,Public Policy Polling,383,no,no,no,263,4.918433,0.8237598,-0.49645100000000003,-0.054238999999999996,B+,no,-0.2037543,0.7286851955141349
60,Greenberg Quinlan Rosner/American Viewpoint,5,yes,no,no,4,4.444001,1.0,-2.78075,-0.0283673,B+,no,-0.5597059,0.7225628856216102
61,Ward Research (Honolulu Star-Advertiser),14,yes,no,no,14,6.003572,0.75,-0.7039244,-0.0234388,B+,no,-0.5524998999999999,0.7213965995134184
62,"Harstad Strategic Research, Inc.",9,yes,no,no,9,3.806667,0.7222221999999999,-1.039461,-0.013781100000000001,B+,no,0.7753846999999999,0.719111189886334
63,Temple University,6,no,no,yes,5,3.66,1.0,-1.505706,-0.0026177,B+,no,-0.3531428,0.7164694696184657
64,Suffolk University,67,yes,no,no,36,5.202538,0.8208955,-0.2230502,-0.0007645,B+,no,0.7319697,0.7160309261639256
65,Pan Atlantic SMS Group,17,yes,no,no,15,6.7782350000000005,0.9117646999999999,-0.5243747,0.0001968,B+,no,0.9171110999999998,0.7158034429873394
66,University of Washington,10,yes,no,no,10,3.9889989999999997,1.0,-0.871708,0.002073,B,no,0.22975,0.715359456785414
67,Clemson University,5,yes,no,no,1,10.296,1.0,-1.740682,0.008678100000000001,B,no,-0.5387097,0.7137964180569534
68,American Viewpoint,6,yes,no,no,6,3.958333,0.6666667,-1.350454,0.0232577,B,no,-0.6297222,0.7103462841535356
69,Strategies 360,4,yes,no,no,4,2.035001,0.625,-3.1528150000000004,0.0320415,B,no,-0.0664706,0.7082676752629734
70,"Davis, Hibbitts & Midghall, Inc.",12,yes,no,no,10,4.274166999999999,0.8333333,-0.5770274999999999,0.0445228,B,no,-0.04625,0.7053140855699278
71,Pharos Research Group,31,yes,no,no,31,4.044839,0.9193549000000001,-0.20871439999999997,0.057890599999999987,F,yes,0.8706558000000001,0.0
72,Google Consumer Surveys,12,no,yes,no,12,2.224998,0.8333333,-1.9447279999999998,0.0815063,B,no,-0.6290475999999999,0.6965622660949731
73,University of Massachusetts Amherst,11,yes,no,no,2,6.527272,1.0,-0.4717854,0.0878732,B,no,-0.4478125,0.6950555952981288
74,Philadelphia Inquirer,4,yes,no,no,4,2.98,1.0,-1.4728290000000002,0.09406160000000001,B,no,-0.3141177,0.6935911649538182
75,"Keating Research, Inc.",3,yes,no,no,3,2.220001,0.6666667,-3.04524,0.0966116,B,no,-0.023636400000000002,0.6929877299176228
76,Missouri State University,3,yes,no,no,3,4.366669,0.6666667,-2.393266,0.0966116,B,no,0.3727273,0.6929877299176228
77,Mellman Group,21,yes,no,no,21,4.853333,0.7857143,-0.1846877,0.10322550000000001,B,no,1.640784,0.6914226087466844
78,Cole Hargrave Snodgrass & Associates,4,yes,no,no,3,6.345,0.75,-1.27962,0.1167922,B,no,0.3130303,0.6882121687052911
79,University of Massachusetts Lowell,14,yes,no,no,6,5.262144,0.9285714,-0.2432433,0.12314160000000005,B,no,-0.14527779999999998,0.6867096391292834
80,YouGov,707,no,yes,no,652,6.679067,0.927157,-0.2802982,0.1257655,B,no,1.598431,0.6860887163090978
81,Voter/Consumer Research,6,yes,no,no,5,5.523332,1.0,-0.7016245,0.13139589999999998,B,no,-0.20800000000000002,0.6847563317491783
82,SoonerPoll.com,16,yes,no,yes,12,8.496250999999999,0.8125,1.036585,0.13200699999999999,B,no,1.8173810000000001,0.684611720317563
83,Richmond Times-Dispatch,4,yes,no,no,4,3.3025,1.0,-1.0942530000000001,0.1386,B,no,0.34147059999999996,0.6830515449475094
84,The Polling Company Inc.,3,yes,no,no,3,3.66,1.0,-1.482646,0.1436438,B,no,-0.0339394,0.6818579741100339
85,Tarrance Group,24,yes,no,no,20,6.156667,0.8333333,-0.0477479,0.152112,B,no,-0.6604,0.6798540491792455
86,Public Opinion Strategies,53,yes,no,no,51,5.884529,0.6603774,-0.0024708,0.1523213,B,no,-1.914321,0.6798045201780394
87,Market Decisions,4,yes,no,no,4,5.164999,1.0,-0.9643474,0.153883,B,no,-0.0535294,0.679434957630578
88,McKeon & Associates,2,yes,no,no,1,0.9050007,1.0,-6.63812,0.16578120000000002,B,no,-0.027741900000000003,0.676619353415809
89,RBI Strategies & Research,2,yes,no,no,1,0.7049999,1.0,-6.571611999999999,0.16578120000000002,B,no,-0.0219355,0.676619353415809
90,Frederick Polls,2,yes,no,no,1,2.384998,0.75,-4.91725,0.16578120000000002,B,no,-0.0187097,0.676619353415809
91,APC Research,2,yes,no,no,2,2.530001,1.0,-3.4755480000000003,0.16578120000000002,B,no,0.158125,0.676619353415809
92,Tulchin Research,2,yes,no,no,2,3.4500010000000003,1.0,-3.162069,0.16578120000000002,B,no,-0.215625,0.676619353415809
93,GBA Strategies,2,yes,no,no,2,3.689999,1.0,-2.702554,0.16578120000000002,B,no,-0.230625,0.676619353415809
94,Stockton College,5,yes,no,no,5,4.468001,1.0,-0.6040429,0.17105510000000002,B,no,0.5291429,0.6753713314403615
95,Knowledge Networks,3,no,yes,yes,1,4.093333,1.0,-1.1371040000000001,0.1750567,B,no,-0.008387100000000001,0.6744243880517969
96,Kiley & Company,2,yes,no,no,2,5.1,1.0,-1.715313,0.18357420000000002,B,no,0.2125,0.6724087967103087
97,New England College,15,no,no,no,15,3.016667,0.7666666999999999,-1.28471,0.1917635,B,no,-0.618,0.6704708710075968
98,Moore Information,6,yes,no,no,6,6.453334,0.6666667,-0.32341149999999996,0.19443139999999998,B,no,-0.4694445,0.669839535975022
99,Landmark Communications,24,no,no,no,18,4.9054160000000016,0.875,-0.8656572,0.1952635,B,no,0.520625,0.6696426268402698
100,"Market Research Institute, Inc.",9,no,no,no,9,2.9322209999999997,1.0,-2.360387,0.1953846,B,no,-0.32641020000000004,0.6696139695920802
101,"Glengariff Group, Inc.",7,yes,no,no,6,4.742857,0.7142857,-0.2333356000000001,0.19603810000000002,B,no,-0.0844445,0.6694593245739807
102,Wilson Perkins Allen Opinion Research,3,yes,no,no,3,6.046667,0.6666667,-0.8394504,0.2021161,B,no,-0.26,0.6680210194171196
103,Tel Opinion Research,12,yes,no,no,10,4.71,0.9583333,-0.023296400000000002,0.2027316,B,no,-0.033,0.6678753667642653
104,"Strategic Vision, LLC",129,no,no,no,106,3.9775970000000003,0.875969,-0.2980322,0.2061248,F,yes,-1.875662,0.0
105,Fox News/Opinion Dynamics Corp.,34,no,no,yes,28,3.916764,0.7205882,0.0941152,0.21128779999999997,B,no,-0.4736207000000001,0.6658506174086984
106,Louisville Courier-Journal,10,no,no,no,10,3.298,0.8,-1.7492240000000001,0.212694,B,no,-0.3155,0.6655178525663855
107,Vox Populi Communications,11,no,no,no,9,4.053637,0.7727273,-1.557624,0.2255154,B,no,-0.045641,0.6624837812043948
108,University of Houston,1,yes,no,no,0,2.009998,1.0,-6.5667300000000015,0.240052,B,no,,0.6590438228721756
109,Florida International University/Univision,1,yes,no,no,1,1.8000029999999998,1.0,-5.67379,0.240052,B,no,0.0580645,0.6590438228721756
110,QEV Analytics,1,yes,no,no,0,7.2999990000000015,0.0,-1.930019,0.24230949999999998,B,no,,0.6585096053842496
111,Merrill Poll,2,yes,no,no,0,8.719999000000001,1.0,-0.7337289,0.2449232,B,no,,0.6578910963042088
112,Hampton University,1,yes,no,no,1,3.48,1.0,-1.7585060000000001,0.2478422,B,no,0.11225810000000001,0.657200340668658
113,Hill Research Consultants,4,yes,no,no,4,5.445002,0.5,-0.14373429999999998,0.25042570000000003,B,no,-0.3717647,0.6565889781525753
114,Clarity Campaign Labs,4,yes,no,no,4,3.222499,0.625,-0.1181453,0.2534362,B,no,0.37617649999999997,0.6558765698480786
115,University of Wisconsin (Badger Poll),6,no,no,yes,5,6.9283350000000015,0.8333333,0.043218099999999995,0.2555363,B,no,0.1785714,0.6553795996835634
116,Financial Dynamics,15,no,no,no,15,2.767334,1.0,-1.0824049999999998,0.2591983,B,no,-0.6588889,0.6545130196433486
117,George Washington University (Battleground),32,yes,no,no,32,3.4775,0.5625,0.18847339999999999,0.2602735,B,no,-1.0003229999999999,0.6542585830351457
118,Emerson College,34,no,no,yes,7,7.877353,0.8382353000000001,0.1891719,0.2617866,B,no,-1.336216,0.6539005212495507
119,"Fabrizio, Lee & Associates",2,yes,no,no,2,5.914999,0.5,-0.3674788,0.2678138,B,no,0.3621875,0.6524742374651753
120,Dartmouth College,2,yes,no,no,0,9.000001,1.0,-0.3594726,0.2683142,B,no,,0.6523558222133665
121,Old Dominion University,1,yes,no,no,1,4.48,1.0,-0.9814691999999999,0.27290790000000004,B,no,0.1445161,0.6512687635758092
122,Schoen Consulting,1,yes,no,no,1,2.269997,1.0,-0.7317172,0.2809644,B-,no,-0.07322580000000001,0.6493622638232177
123,Dittman Research,9,yes,no,no,6,5.9000010000000005,1.0,0.23942049999999998,0.2813456,B-,no,1.011111,0.6492720562013361
124,Baruch College,2,yes,no,no,0,5.664999,1.0,-0.11531559999999999,0.283574,B-,no,,0.6487447249720586
125,Gallup,80,yes,no,yes,65,4.26975,0.7125,0.6398347,0.2952517,B-,no,-0.8367368000000001,0.6459813001398312
126,Greenberg Quinlan Rosner (Democracy Corps),48,yes,no,no,47,4.389375,0.48958329999999994,0.22837929999999998,0.29533400000000004,B-,no,2.381169,0.6459618245698395
127,"Yankelovich Partners, Inc.",6,no,no,yes,3,6.9900009999999995,0.4166667000000001,0.2964946,0.2977491,B-,no,-0.10909089999999999,0.6453903124302647
128,Belden Russonello,2,yes,no,no,2,4.734999,1.0,0.18873289999999998,0.302577,B-,no,0.2078125,0.6442478324258538
129,Probolsky Research,1,yes,no,no,1,4.8600010000000005,0.0,0.3057219,0.3144301,B-,no,-0.15677420000000006,0.6414429007287838
130,"Susquehanna Polling & Research, Inc.",29,yes,no,no,24,5.260345,0.7931035,0.3159967,0.3214479,B-,no,0.062037,0.6397822001809358
131,NPR,3,yes,no,no,3,4.98,0.1666667,0.49348770000000003,0.3232923,B-,no,0.0878788,0.6393457391688735
132,University of Nevada Las Vegas,1,yes,no,no,0,8.999998,1.0,0.855173,0.3321544,B-,no,,0.6372486012730822
133,CallFire,4,yes,no,no,4,3.9325010000000002,0.75,0.5555269,0.3326918,B-,no,-0.4626471,0.637121430297219
134,DFM Research,5,yes,no,no,5,6.2620000000000005,0.8,0.5289689000000001,0.3329139,B-,no,0.8945714,0.6370688722887723
135,Victoria Research & Consulting,1,yes,no,no,1,8.050003,0.5,1.038904,0.33808119999999997,B-,no,0.2596774,0.6358460762642496
136,Christopher Newport University,3,yes,no,no,3,6.789999000000001,1.0,0.7369769,0.3454276,B-,no,0.6172727,0.6341076154211491
137,"Ethridge & Associates, LLC",6,no,no,no,6,2.671668,0.8333333,-2.362378,0.3466667,B-,no,-0.1202778,0.6338143933217963
138,Clarus Research Group,3,yes,no,no,2,6.753332,1.0,0.8122739999999999,0.3522728,B-,no,0.505625,0.6324877591428099
139,Virginia Commonwealth University,5,yes,no,no,5,4.898,1.0,0.7520551999999999,0.36478340000000004,B-,no,-0.27685709999999997,0.6295272358628777
140,Benenson Strategy Group,9,yes,no,no,9,6.210001,0.5,0.6173753000000001,0.3685659,B-,no,0.6566666,0.6286321405591879
141,Southern Media & Opinion Research,4,yes,no,no,2,6.4275,1.0,0.8638199000000001,0.3689615,B-,no,0.003125,0.6285385253041609
142,Middle Tennessee State University,4,yes,no,no,3,8.01,1.0,0.8646795,0.36906259999999996,B-,no,0.11696969999999995,0.6285146008797846
143,Capital Survey Research Center,11,no,no,no,4,7.756364,0.3636364,-1.020068,0.3697377,B-,no,0.0670588,0.6283548444119667
144,Val Smith,1,yes,no,no,1,8.519997,1.0,2.047489,0.3706162,B-,no,-0.2748387,0.6281469551259676
145,Hoffman Research Group,1,yes,no,no,1,7.09,1.0,2.152493,0.3740034,B-,no,-0.22870970000000002,0.6273454040849475
146,Potomac Incorporated,8,no,no,no,6,4.5475,0.875,-1.350889,0.37981279999999995,B-,no,-0.5227778000000001,0.6259706607518989
147,Harper Polling,9,no,no,no,5,4.128889,1.0,-1.147167,0.3921922,B-,no,0.254,0.6230411847961821
148,Crawford Johnson & Northcott Inc.,5,no,no,no,1,4.649999,1.0,-2.97579,0.4028572,B-,no,0.10483869999999999,0.6205174064977411
149,"Fairbank, Maslin, Maullin, Metz & Associates",7,yes,no,no,7,5.868571,0.7857143,0.8757483,0.40586469999999997,B-,no,1.048108,0.6198057081168165
150,OpinionWorks,6,yes,no,no,6,7.3,0.9166667,0.9682027,0.4097005,B-,no,-0.5077778000000001,0.618897999837664
151,Rutgers University,13,yes,no,yes,13,5.684615,0.8461539,2.125943,0.4210937,B-,no,0.0981395,0.6162018994241809
152,Feldman Group,1,yes,no,no,1,10.8,0.0,3.679445,0.4232599,B-,no,0.34838709999999995,0.6156892872769627
153,"Schroth, Eldon & Associates",8,no,no,no,6,3.151251,0.875,-1.118056,0.4288304,B-,no,0.5586111,0.6143710775243639
154,Overtime Politics,12,yes,no,no,0,9.816668,0.6666667,0.8134353,0.4417978,F,yes,,0.0
155,"North Star Opinion Research/Ayres, McHenry & Associates",2,yes,no,no,2,7.0300009999999995,0.5,2.5970779999999998,0.4530987,B-,no,-0.439375,0.6086281981169513
156,"International Communications Research, Inc.",5,no,no,no,5,3.128002,0.2,-1.632694,0.4553295,B-,no,-0.07142860000000001,0.6081002989488161
157,Wilson Research Strategies,10,yes,no,no,9,6.941,0.65,0.9508293999999999,0.45770730000000004,B-,no,-0.1258975,0.6075376135256532
158,University of Texas,4,no,yes,no,4,1.202499,1.0,-5.019946,0.46235299999999996,B-,no,0.1285294,0.6064382495461813
159,Orion Strategies,4,no,no,no,3,3.065,1.0,-3.6259050000000004,0.46235299999999996,B-,no,0.11757580000000001,0.6064382495461813
160,Alabama State University,4,no,no,no,0,6.4000010000000005,0.5,-3.4309819999999998,0.46235299999999996,B-,no,,0.6064382495461813
161,Northern Arizona University,4,no,no,no,4,3.5825,1.0,-3.265447,0.46235299999999996,B-,no,-0.39088229999999996,0.6064382495461813
162,Marshall Marketing & Communications,4,no,no,no,3,2.785,1.0,-2.196468,0.46235299999999996,B-,no,-0.2,0.6064382495461813
163,IVR Polls,4,no,no,no,0,4.049999,1.0,-2.178545,0.46235299999999996,B-,no,,0.6064382495461813
164,"Gonzales Research & Marketing Strategies, Inc.",9,yes,no,no,8,6.387777,0.7777778000000001,1.0264389999999999,0.46296509999999996,B-,no,-0.4463157999999999,0.6062934014733754
165,SocialSphere,2,yes,no,no,2,6.1399989999999995,1.0,2.892591,0.4715682,B-,no,-0.38375,0.6042575536459662
166,Howey Politics/DePauw University,7,yes,no,no,6,6.798572,0.5714286,1.241041,0.4749742,B-,no,0.0952778,0.6034515537505617
167,OnPoint,4,no,no,no,4,1.6524990000000002,1.0,-1.880882,0.4763669,B-,no,0.1926471,0.6031219835643227
168,Scripps Howard,4,no,no,no,4,3.785,1.0,-1.8524599999999998,0.4797106,B-,no,-0.06529410000000001,0.6023307264150966
169,Loras College,10,yes,no,no,6,9.705,0.7,1.042769,0.48069229999999996,B-,no,1.060833,0.6020984157582208
170,KRC/Communications Research,22,no,no,no,11,6.891364,0.9090908999999999,-0.24660189999999999,0.4833607,B-,no,0.1941463,0.6014669624050506
171,"Richard Day Research, Inc.",11,no,no,no,11,5.5045459999999995,1.0,-0.5917472,0.4846532,B-,no,-0.7704878000000001,0.6011611036661162
172,"Frank N. Magid Associates, Inc.",4,no,no,no,4,4.634998,1.0,-1.810037,0.4847015,B-,no,0.5452942,0.6011496738966071
173,Franklin Pierce University,21,yes,no,no,12,6.636666,0.8333333,0.7721329,0.4972104000000001,B-,no,1.279762,0.5981895529066992
174,Penn Schoen Berland,18,no,yes,yes,18,7.587778,0.6666667,0.8800771999999999,0.5169039000000001,B-,no,2.52875,0.5935292596183402
175,US News & World Report,3,no,no,no,3,1.916667,1.0,-4.68424,0.5254545999999999,B-,no,-0.07666669999999999,0.5915058117893222
176,Iowa State University,3,no,no,no,0,6.286667,0.6666667,-3.536943,0.5254545999999999,B-,no,,0.5915058117893222
177,RAND (American Life Panel),3,no,yes,no,3,1.236666,1.0,-3.393079,0.5254545999999999,B-,no,-0.0390909,0.5915058117893222
178,MSR Group,3,no,no,no,3,3.4666660000000005,1.0,-2.792488,0.5254545999999999,B-,no,0.3151515,0.5915058117893222
179,Personal Marketing Research,3,no,no,no,0,6.176666,0.6666667,-2.216456,0.5254545999999999,B-,no,,0.5915058117893222
180,Gravis Marketing,55,no,no,no,29,5.804545,0.7909090999999999,0.0352,0.5298353,B-,no,-1.0598299999999998,0.5904691577253764
181,Lauer Johnson Research,1,yes,no,no,1,13.82,0.0,7.17943,0.5361627,B-,no,0.4458064000000001,0.5889718342555634
182,University of Illinois at Chicago,1,no,no,yes,1,14.09,1.0,7.184,0.5363101,B-,no,-0.4545161,0.5889369533440595
183,"Political Marketing International, Inc./Red Racing Horses",4,no,no,no,4,4.31,0.625,-1.2375120000000002,0.5520574,B-,no,0.1341176,0.5852104935223024
184,Purple Strategies,4,no,yes,no,4,3.02,0.875,-1.233342,0.5525479999999999,B-,no,-0.3552941,0.5850943973541621
185,Research 2000,279,no,no,no,247,5.539391,0.8781361999999999,0.1581388,0.557737,F,yes,1.389458,0.0
186,"Baselice & Associates, Inc.",2,yes,no,no,1,9.98,1.0,4.345331,0.5623645,C+,no,0.2241935,0.5827714091060003
187,Marketing Resource Group (MRG),6,yes,no,no,3,11.045,0.1666667,1.893977,0.5639963000000001,C+,no,-0.27121209999999996,0.5823852580110733
188,University of Wisconsin Milwaukee,3,no,no,no,3,5.2833309999999996,1.0,-1.4724780000000002,0.5734111,C+,no,-0.480303,0.5801573285292017
189,Braun Research,3,yes,no,no,3,9.113332000000002,1.0,3.254724,0.5743138000000001,C+,no,0.8284848,0.5799437125263884
190,Market Solutions Group,4,no,no,no,2,4.347498000000001,1.0,-1.018784,0.5777901,C+,no,-0.0078125,0.5791210767552801
191,CVOTER International,3,no,yes,no,3,2.859997,1.0,-1.264761,0.5922945,C+,no,-0.26,0.5756887382694004
192,M4 Strategies,2,no,yes,no,2,3.09,1.0,-6.183712,0.5925,C+,no,-0.193125,0.5756401085047187
193,Louis Harris & Associates,2,no,no,no,2,0.8999976999999999,1.0,-4.460755000000002,0.5925,C+,no,0.05625,0.5756401085047187
194,Master Image,2,no,no,no,0,1.170002,1.0,-4.144325,0.5925,C+,no,,0.5756401085047187
195,Douglas Fulmer & Associates,2,no,no,no,0,5.07,1.0,-2.8794310000000003,0.5925,C+,no,,0.5756401085047187
196,Forward Strategies,2,no,no,no,2,1.305,1.0,-2.7160849999999996,0.5925,C+,no,0.0815625,0.5756401085047187
197,Lincoln Institute,2,no,no,no,2,4.129999,0.75,-2.671461,0.5925,C+,no,-0.258125,0.5756401085047187
198,Crosswind Media & Public Relations,2,no,no,no,0,6.504997,1.0,-1.9656790000000002,0.594645,C+,no,,0.5751325131507425
199,Texas Credit Union League,2,no,no,no,0,6.950000999999999,1.0,-1.931398,0.5967876,C+,no,,0.5746254857356239
